GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CentralAnalyzer,91,258,20,24,16,74,13,21,0,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,FileNameAnalyzer,0,129,1,7,0,19,1,9,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,JarAnalyzer,597,2416,155,301,69,431,131,126,0,29
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NspAnalyzer,179,514,25,35,29,97,20,21,0,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundleAuditAnalyzer,845,130,103,5,179,34,61,8,7,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractDependencyComparingAnalyzer,0,87,0,14,0,22,0,12,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,FalsePositiveAnalyzer,253,851,94,152,37,150,74,65,0,16
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierMatch,123,46,20,0,22,9,16,5,6,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer,50,91,17,13,10,21,13,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer.new FilenameFilter() {...},10,0,0,0,2,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,SwiftPackageManagerAnalyzer,14,135,8,8,4,36,8,10,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,HintAnalyzer,188,446,25,63,38,99,17,37,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NvdCveAnalyzer,12,69,1,7,4,20,1,8,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CpeSuppressionAnalyzer,0,12,0,0,0,5,0,5,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonDistributionAnalyzer,130,396,32,32,19,88,27,20,0,15
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer.new FilenameFilter() {...},0,14,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierConfidence,9,39,0,0,0,4,2,2,2,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,JarAnalyzer.ClassNameInformation,4,74,0,8,2,18,1,7,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyBundlingAnalyzer,175,551,65,107,40,103,55,49,2,16
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackage,145,45,30,0,14,19,17,13,2,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNuspecParser,0,109,3,7,0,19,3,5,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nuget,NuspecParseException,3,9,0,0,2,4,1,2,1,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ScanAgentException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,InitializationException,24,22,0,0,8,7,4,3,4,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,DependencyNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,H2DBLockException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,NoDataException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ReportException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ExceptionCollection,146,64,6,4,43,17,15,5,11,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverShim,107,27,14,0,24,6,15,4,8,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseProperties,16,127,3,9,4,29,3,12,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader,64,138,1,9,12,31,2,9,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB,424,1332,30,132,95,336,29,81,2,27
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CorruptDatabaseException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB.PreparedStatementCveDb,5,233,0,0,0,23,1,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoadException,8,5,0,0,4,2,2,1,2,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader.new PrivilegedAction() {...},0,23,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,ConnectionFactory,357,370,28,22,70,117,22,16,1,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,6,18,0,0,1,5,1,4,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,PropertyType,74,100,14,14,10,28,12,13,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,120,166,19,15,10,25,17,5,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,18,218,18,34,3,44,17,23,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,216,482,37,85,42,126,26,70,6,29
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexEntry,81,96,21,11,12,23,20,9,5,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,111,272,25,15,13,63,21,11,2,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cpe,Fields,3,0,0,0,2,0,1,0,1,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomHandler,0,312,20,64,0,52,20,38,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model,0,199,0,6,0,58,0,30,0,27
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParser,69,75,6,4,8,17,4,5,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,License,62,57,14,6,8,17,12,7,2,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomUtils,140,25,5,1,36,8,5,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,0,11,0,0,0,4,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.Element,3,82,0,0,1,18,1,17,1,17
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,135,253,31,23,22,42,26,10,1,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler.Element,8,27,0,0,2,7,2,6,2,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler,15,236,4,30,1,50,4,17,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveInfo,0,41,0,0,0,17,0,11,0,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.AttributeValues,3,0,0,0,1,0,1,0,1,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,ProcessTask,32,106,0,0,6,31,1,6,1,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,UpdateableNvdCve,13,98,0,4,1,27,1,13,1,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler,34,504,4,82,8,112,5,48,1,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersionUtil,3,113,2,22,2,33,3,13,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,ExtractionUtil,634,183,97,23,64,37,61,8,3,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter.FilterIterator,8,52,2,8,2,17,3,7,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DateUtil,3,21,0,2,2,2,1,2,1,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,UrlStringUtils,3,185,2,16,2,28,3,11,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,H2DBLock,242,248,47,23,37,52,37,4,2,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter.new Iterable() {...},0,16,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DBUtils,31,41,4,6,9,17,5,5,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersion,10,358,8,62,5,85,8,38,0,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,FileFilterBuilder,9,132,3,13,1,24,2,13,0,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Filter,0,16,0,0,0,4,0,3,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.utils,Pair,67,49,18,2,14,12,14,4,4,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.exception,InvalidDataException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.exception,UpdateException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.central,CentralSearch,36,297,3,23,9,64,3,14,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.agent,DependencyCheckScanAgent,843,0,46,0,237,0,101,0,78,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nsp,SanitizePackage,3,75,0,4,2,7,1,4,1,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nsp,NspSearch,140,295,26,15,10,59,18,6,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nsp,Advisory,35,93,3,1,10,40,9,24,7,24
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability,120,229,17,9,25,80,15,42,5,39
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Reference,86,84,25,3,11,16,16,9,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Object() {...},6,45,0,0,0,2,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceType,5,43,0,0,0,4,1,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerabilityComparator,0,9,0,0,0,2,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Evidence,39,172,12,18,17,29,16,14,5,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection,104,360,22,34,24,76,20,32,1,16
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency,90,655,9,37,18,148,15,67,6,53
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability.Source,9,29,0,0,0,3,2,2,2,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerableSoftware,89,412,13,67,23,91,16,47,5,18
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Identifier,34,135,13,9,12,32,15,15,4,15
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Confidence,0,58,0,0,0,5,0,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerDependency,52,66,18,10,6,16,13,7,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerException,7,5,0,0,4,2,2,1,2,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerLockParser,15,155,5,9,4,34,5,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,AbstractTokenizingFilter,0,45,0,4,0,12,0,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,LuceneUtils,3,51,1,9,2,15,2,7,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,SearchFieldAnalyzer,0,116,0,0,0,16,0,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,UrlTokenizingFilter,15,72,1,9,4,17,1,7,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,AlphaNumericTokenizer,6,15,0,4,2,3,1,4,1,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,TokenPairConcatenatingFilter,106,95,28,8,15,25,16,7,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.lucene,DependencySimilarity,5,0,0,0,2,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator.Format,0,78,0,0,0,7,0,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,EscapeTool,10,260,1,63,4,68,1,43,0,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,VelocityLoggerRedirect,47,21,10,2,20,10,10,6,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator,330,562,56,61,37,131,43,33,0,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator.new Object() {...},10,65,0,0,0,1,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,MavenArtifact,38,132,2,4,18,23,9,9,7,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,NexusSearch,232,0,19,0,54,0,14,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler.ParentType,5,43,0,0,0,4,1,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintErrorHandler,11,13,0,0,3,3,2,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintRule,0,203,0,0,0,41,0,21,0,21
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler.new Object() {...},3,23,0,0,0,1,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParseException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,EvidenceMatcher,41,93,0,18,4,17,4,16,4,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,VendorDuplicatingHintRule,8,15,0,0,4,6,2,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParser,97,232,21,21,6,33,21,6,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler,6,339,23,53,4,69,23,31,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweHandler,41,0,4,0,8,0,5,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweDB,84,45,13,5,10,9,10,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CPEHandler,136,0,16,0,32,0,14,0,6,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,Cpe,75,0,2,0,19,0,9,0,8,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CPEHandler.Element,73,0,0,0,17,0,15,0,15,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,EngineVersionCheck,82,227,25,17,18,59,20,9,1,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,NvdCveUpdater,266,590,30,50,64,136,24,29,0,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,NvdCveUpdater.TimestampRetriever,7,35,0,0,0,8,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,UpdateService,0,12,0,0,0,4,0,2,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.update,CpeUpdater,3,0,0,0,1,0,1,0,1,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml,XmlEntity,3,1551,0,4,2,262,1,4,1,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml,XmlInputStream,11,342,7,41,3,64,6,30,0,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer.exception,AnalysisException,7,9,0,0,4,4,2,2,2,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer.exception,ArchiveExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,550,265,52,24,73,78,35,12,1,8
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,187,117,8,6,39,30,16,7,11,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,190,92,39,5,40,30,21,7,1,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,41,63,7,9,11,15,8,8,2,6
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},58,0,6,0,10,0,5,0,2,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,277,564,46,56,33,130,40,45,4,30
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,65,126,14,10,3,24,11,6,1,4
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,35,147,10,14,5,34,11,9,1,5
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,0,32,0,2,0,7,0,3,0,2
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-utils,org.owasp.dependencycheck.utils,Settings.KEYS,3,0,0,0,2,0,1,0,1,0
